File: c05-report-object-projection-runtime-race.test
Type: cpu
Time: 2026-09-14 17:45:54 CST
Duration: 563.87s, Total samples = 1049.33s (186.10%)
Showing nodes accounting for 921.80s, 87.85% of 1049.33s total
Dropped 2277 nodes (cum <= 5.25s)
      flat  flat%   sum%        cum   cum%
         0     0% 43.86%     80.34s  7.66%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).sources
         0     0% 43.86%     79.63s  7.59%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).authorizeReleasedSourceRead
         0     0% 43.86%     79.01s  7.53%  github.com/domainry/domainry-identity-sdk/httpmiddleware.(*Middleware).RequirePasswordChanged.func1
     0.24s 0.023% 43.88%     78.96s  7.52%  modernc.org/sqlite/lib._sqlite3Select
    78.84s  7.51% 51.39%     78.84s  7.51%  __tsan::MemoryRangeSet
         0     0% 51.39%     78.61s  7.49%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).projectConversationTask
         0     0% 51.39%     76.28s  7.27%  github.com/domainry/domainry-identity-sdk/httpmiddleware.(*Middleware).Authenticate.func1
    39.12s  3.73% 55.12%     71.82s  6.84%  runtime.checkptrBase
         0     0% 55.12%     71.15s  6.78%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withAuth.func11
         0     0% 55.12%     69.33s  6.61%  github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent.(*ConversationStore).transaction
     0.01s 0.00095% 55.12%     66.48s  6.34%  github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent.(*ConversationStore).Claim
         0     0% 55.12%     65.97s  6.29%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withRuntimeAuthoringScenarioEvidence.func12
    64.66s  6.16% 61.29%     64.66s  6.16%  runtime.usleep
         0     0% 61.29%     64.06s  6.10%  database/sql.(*Tx).QueryContext
     7.32s   0.7% 61.98%     64.05s  6.10%  runtime.checkptrAlignment
     0.01s 0.00095% 61.98%     62.36s  5.94%  github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent.(*ConversationStore).Claim.func1
         0     0% 61.98%     62.24s  5.93%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).deliveryToolResult
         0     0% 61.98%     59.64s  5.68%  github.com/domainry/domainry-runtime/runtime/transport/http.CORSMiddleware.func1
     0.26s 0.025% 62.01%     59.54s  5.67%  runtime.stealWork
     0.01s 0.00095% 62.01%     59.12s  5.63%  runtime.runqsteal
     0.03s 0.0029% 62.01%     59.11s  5.63%  runtime.runqgrab
     7.56s  0.72% 62.73%     56.85s  5.42%  runtime.checkptrStraddles
         0     0% 62.73%     55.93s  5.33%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).QueryIdentityContext
         0     0% 62.73%     54.76s  5.22%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).checkRunSources
         0     0% 62.73%     53.51s  5.10%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withRecovery.func13
     0.04s 0.0038% 62.74%     50.28s  4.79%  encoding/json.Marshal
     0.01s 0.00095% 62.74%     49.01s  4.67%  encoding/json.(*encodeState).marshal
     0.23s 0.022% 62.76%     48.95s  4.66%  encoding/json.(*encodeState).reflectValue
         0     0% 62.76%     48.72s  4.64%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).authorizeCollaborationID
         0     0% 62.76%     47.98s  4.57%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).ListIdentityUsers
