/tmp/c05-schema-projection-singleflight-final-race.test: stat /tmp/c05-schema-projection-singleflight-final-race.test: no such file or directory
Fetched 1 source profiles out of 2
Local symbolization failed for integrationtest.test: open /private/var/folders/5w/z9d657ts32zg837n0bvff0yh0000gn/T/go-build26273901/b001/integrationtest.test: no such file or directory
Some binary filenames not available. Symbolization may be incomplete.
Try setting PPROF_BINARY_PATH to the search path for local binaries.
File: integrationtest.test
Type: cpu
Time: 2026-09-14 20:31:18 CST
Duration: 292.45s, Total samples = 464.08s (158.69%)
Showing nodes accounting for 351.53s, 75.75% of 464.08s total
Dropped 2485 nodes (cum <= 2.32s)
Showing top 200 nodes out of 408
      flat  flat%   sum%        cum   cum%
         0     0% 58.82%     21.72s  4.68%  github.com/domainry/domainry-agent-sdk/browsergateway.(*boundary).forwardConversation
         0     0% 58.82%     21.41s  4.61%  github.com/domainry/domainry-agent-sdk/browsergateway.NewHandler.(*boundary).authenticated.func6
         0     0% 58.82%     21.24s  4.58%  runtime.stopm
     0.01s 0.0022% 58.82%     21.06s  4.54%  runtime.semasleep
    21.04s  4.53% 63.35%     21.04s  4.53%  runtime.pthread_cond_wait
         0     0% 63.35%     20.97s  4.52%  runtime.mPark (inline)
     0.01s 0.0022% 63.35%     20.97s  4.52%  runtime.notesleep
     0.01s 0.0022% 63.36%     20.69s  4.46%  modernc.org/sqlite/lib._sqlite3BtreeBeginTrans
         0     0% 63.36%     20.68s  4.46%  modernc.org/sqlite/lib._btreeBeginTrans
     0.01s 0.0022% 63.36%     20.63s  4.45%  modernc.org/sqlite/lib._lockBtree
         0     0% 63.36%     20.27s  4.37%  modernc.org/sqlite/lib._sqlite3PagerSharedLock
         0     0% 63.36%     20.26s  4.37%  modernc.org/sqlite/lib._pagerBeginReadTransaction
         0     0% 63.36%     20.24s  4.36%  modernc.org/sqlite/lib._sqlite3WalBeginReadTransaction (inline)
     0.01s 0.0022% 63.36%     20.24s  4.36%  modernc.org/sqlite/lib._walBeginReadTransaction
         0     0% 63.36%     20.22s  4.36%  modernc.org/sqlite/lib._walTryBeginRead
         0     0% 63.36%     20.08s  4.33%  modernc.org/sqlite/lib._walLockShared
    19.71s  4.25% 67.61%     19.71s  4.25%  __tsan_read
         0     0% 67.61%     18.24s  3.93%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.exerciseSharedBusinessAgentDelivery
     9.25s  1.99% 69.60%     18.24s  3.93%  runtime.findObject
         0     0% 69.60%     17.96s  3.87%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).AuthorizeConversationTool
     0.07s 0.015% 69.62%     17.85s  3.85%  modernc.org/sqlite/lib._sqlite3WhereBegin
     0.01s 0.0022% 69.62%     17.78s  3.83%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).sourceReleaseContext
         0     0% 69.62%     17.67s  3.81%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.(*businessWebFixture).open
         0     0% 69.62%     17.44s  3.76%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).authorizeAction
         0     0% 69.62%     17.43s  3.76%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.TestCrossUserBusinessAgentComplexFiltersOriginalCursorAutomaticDeliveryAndAcceptance
         0     0% 69.62%     17.42s  3.75%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).RevalidateBusiness
         0     0% 69.62%     17.24s  3.71%  github.com/domainry/domainry-agent-sdk/browsergateway.NewHandler.func3
         0     0% 69.62%     16.94s  3.65%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).revalidateBusinessSnapshot
         0     0% 69.62%     16.64s  3.59%  database/sql.(*DB).QueryRowContext
     0.01s 0.0022% 69.62%     16.58s  3.57%  runtime.resetspinning
         0     0% 69.62%     16.57s  3.57%  encoding/json.Marshal
         0     0% 69.62%     16.16s  3.48%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).QueryIdentityContext
     0.01s 0.0022% 69.62%     16.12s  3.47%  encoding/json.(*encodeState).marshal
     0.06s 0.013% 69.63%     16.11s  3.47%  encoding/json.(*encodeState).reflectValue
