File: c05-schema-and-assessment-compaction-final-race.test
Type: cpu
Time: 2026-09-14 20:22:13 CST
Duration: 184.90s, Total samples = 326.16s (176.40%)
Showing nodes accounting for 287.91s, 88.27% of 326.16s total
Dropped 1867 nodes (cum <= 1.63s)
      flat  flat%   sum%        cum   cum%
         0     0% 57.20%     13.08s  4.01%  github.com/domainry/domainry-tools/internal/application/tool.(*Combined).ConversationTools
     0.01s 0.0031% 57.20%     12.92s  3.96%  modernc.org/sqlite/lib._walLockShared
         0     0% 57.20%     12.64s  3.88%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).AuthorizeBusinessResultRead
         0     0% 57.20%     12.61s  3.87%  github.com/domainry/domainry-agent-sdk.AuthorizeBusinessResultRead
         0     0% 57.20%     12.56s  3.85%  github.com/domainry/domainry-agent/internal/application.(*collaborationToolHost).ConversationTools
         0     0% 57.20%     12.15s  3.73%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).projectConversationTask
         0     0% 57.20%     11.96s  3.67%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).reauthorizeExecutionInputs
    11.78s  3.61% 60.81%     11.78s  3.61%  runtime.usleep
         0     0% 60.81%     11.63s  3.57%  github.com/domainry/domainry-agent/internal/application.(*collaborationToolHost).InvokeConversationTool
         0     0% 60.81%     11.61s  3.56%  github.com/domainry/domainry-tools/internal/application/tool.(*Combined).InvokeConversationTool
         0     0% 60.81%     11.38s  3.49%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.(*businessWebFixture).open
         0     0% 60.81%     10.68s  3.27%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).ConversationDelegations
         0     0% 60.81%     10.58s  3.24%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.exerciseSharedBusinessAgentDelivery
    10.40s  3.19% 64.00%     10.40s  3.19%  runtime.findObject
         0     0% 64.00%     10.35s  3.17%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).GetBusinessRecord
         0     0% 64.00%     10.34s  3.17%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).ResolvePrincipalContext
         0     0% 64.00%     10.23s  3.14%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.TestCrossUserBusinessAgentComplexFiltersOriginalCursorAutomaticDeliveryAndAcceptance
     0.11s 0.034% 64.04%     10.13s  3.11%  runtime.stealWork
         0     0% 64.04%     10.10s  3.10%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withRecovery.func13
     0.01s 0.0031% 64.04%      9.95s  3.05%  runtime.runqgrab
         0     0% 64.04%      9.95s  3.05%  runtime.runqsteal
         0     0% 64.04%      9.78s  3.00%  runtime.stopm
         0     0% 64.04%      9.76s  2.99%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityApplicationService).ResolvePrincipalForRole
         0     0% 64.04%      9.76s  2.99%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).ResolvePrincipalForRole
         0     0% 64.04%      9.66s  2.96%  runtime.semasleep
     9.63s  2.95% 66.99%      9.64s  2.96%  runtime.pthread_cond_wait
         0     0% 66.99%      9.62s  2.95%  github.com/domainry/domainry-runtime/runtime/bootstrap/runtime.NewWithScheduler
     0.01s 0.0031% 66.99%      9.62s  2.95%  github.com/domainry/domainry-runtime/runtime/bootstrap/runtime.newWithExtensionsUsingAllFactoriesAndStore
         0     0% 66.99%      9.61s  2.95%  runtime.notesleep
     1.16s  0.36% 67.35%      9.56s  2.93%  encoding/json.stringEncoder
         0     0% 67.35%      9.47s  2.90%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityEffectiveAccessApplicationService).snapshotFromPrincipalContext
         0     0% 67.35%      9.45s  2.90%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).checkRunSources
         0     0% 67.35%      9.36s  2.87%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).queryBusinessRecords
         0     0% 67.35%      9.29s  2.85%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).checkCompletionReceipts
         0     0% 67.35%      9.27s  2.84%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.newBusinessWebFixtureWithModel
         0     0% 67.35%      9.21s  2.82%  github.com/domainry/domainry-agent/internal/application.(*businessConversationHost).ConversationTools
         0     0% 67.35%      9.02s  2.77%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).executionCatalogForRun
     8.38s  2.57% 69.92%      8.38s  2.57%  racecalladdr
         0     0% 69.92%      8.27s  2.54%  github.com/domainry/domainry-agent-sdk/browsergateway.NewHandler.func3
         0     0% 69.92%      8.16s  2.50%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).checkVerificationSources
     0.01s 0.0031% 69.92%      8.07s  2.47%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).AuthorizeSharedBusinessResultRead
         0     0% 69.92%      7.82s  2.40%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withMetrics.func14
     0.02s 0.0061% 69.93%      7.80s  2.39%  runtime.(*mheap).allocSpan
         0     0% 69.93%      7.78s  2.39%  runtime.(*mheap).alloc.func1
     7.73s  2.37% 72.30%      7.73s  2.37%  runtime._ExternalCode
         0     0% 72.30%      7.69s  2.36%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.TestBusinessIndependentReceiptReadThroughRealOwnerRPC
